from	to	combined_score	label
Gene_51561	Gene_3593	995	True
Gene_6376	Gene_3565	760	True
Gene_30009	Gene_3565	908	True
Gene_3162	Gene_3565	945	True
Gene_3560	Gene_3565	828	True
Gene_6367	Gene_3565	980	True
Gene_6361	Gene_3565	858	True
Gene_1440	Gene_3565	868	True
Gene_6347	Gene_3565	991	True
Gene_6346	Gene_3565	723	True
Gene_6357	Gene_3565	707	True
Gene_3558	Gene_3565	964	True
Gene_3587	Gene_3565	828	True
Gene_3458	Gene_3565	921	True
Gene_57379	Gene_3565	743	True
Gene_1432	Gene_3565	962	True
Gene_3593	Gene_3565	946	True
Gene_30009	Gene_3567	741	True
Gene_3560	Gene_3567	939	True
Gene_6361	Gene_3567	704	True
Gene_2057	Gene_3567	728	True
Gene_1440	Gene_3567	821	True
Gene_6347	Gene_3567	801	True
Gene_3558	Gene_3567	995	True
Gene_3587	Gene_3567	779	True
Gene_3458	Gene_3567	904	True
Gene_3565	Gene_3567	957	True
Gene_2288	Gene_2908	982	True
Gene_7205	Gene_2908	927	True
Gene_5594	Gene_2908	961	True
Gene_10671	Gene_2908	900	True
Gene_56729	Gene_2908	921	True
Gene_4790	Gene_2908	957	True
Gene_1432	Gene_2908	934	True
Gene_7414	Gene_4057	901	True
Gene_1522	Gene_4057	905	True
Gene_10562	Gene_4057	942	True
Gene_56729	Gene_4057	923	True
Gene_4790	Gene_4057	904	True
Gene_6694	Gene_3273	837	True
Gene_7076	Gene_3273	905	True
Gene_7040	Gene_3273	900	True
Gene_3082	Gene_3273	906	True
Gene_5054	Gene_3273	950	True
Gene_6678	Gene_3273	906	True
Gene_2896	Gene_10641	800	True
Gene_4633	Gene_7134	957	True
Gene_1947	Gene_8440	980	True
Gene_5603	Gene_8440	900	True
Gene_6300	Gene_8440	900	True
Gene_3082	Gene_8440	900	True
Gene_8976	Gene_8440	987	True
Gene_1432	Gene_8440	911	True
Gene_1080	Gene_338	924	True
Gene_1856	Gene_338	900	True
Gene_9341	Gene_338	900	True
Gene_5954	Gene_338	900	True
Gene_10272	Gene_338	900	True
Gene_6694	Gene_338	947	True
Gene_1361	Gene_338	704	True
Gene_350	Gene_338	973	True
Gene_3053	Gene_338	964	True
Gene_3956	Gene_338	902	True
Gene_7076	Gene_338	919	True
Gene_5444	Gene_338	915	True
Gene_3912	Gene_338	903	True
Gene_8976	Gene_338	900	True
Gene_1432	Gene_338	912	True
Gene_6678	Gene_338	902	True
Gene_3273	Gene_338	716	True
Gene_5947	Gene_338	911	True
Gene_5954	Gene_84141	904	True
Gene_10272	Gene_84141	905	True
Gene_6694	Gene_84141	902	True
Gene_3053	Gene_84141	904	True
Gene_3956	Gene_84141	903	True
Gene_7076	Gene_84141	905	True
Gene_3912	Gene_84141	912	True
Gene_338	Gene_84141	943	True
Gene_5954	Gene_3488	911	True
Gene_10272	Gene_3488	912	True
Gene_6694	Gene_3488	900	True
Gene_3053	Gene_3488	906	True
Gene_3956	Gene_3488	908	True
Gene_7076	Gene_3488	930	True
Gene_3912	Gene_3488	922	True
Gene_7448	Gene_3488	753	True
Gene_338	Gene_3488	906	True
Gene_84141	Gene_3488	903	True
Gene_6422	Gene_7475	897	True
Gene_51384	Gene_7475	908	True
Gene_3565	Gene_9173	741	True
Gene_5954	Gene_5624	900	True
Gene_10272	Gene_5624	901	True
Gene_6694	Gene_5624	963	True
Gene_1361	Gene_5624	827	True
Gene_3053	Gene_5624	958	True
Gene_3956	Gene_5624	900	True
Gene_10544	Gene_5624	994	True
Gene_7076	Gene_5624	905	True
Gene_3912	Gene_5624	900	True
Gene_5054	Gene_5624	871	True
Gene_338	Gene_5624	928	True
Gene_84141	Gene_5624	902	True
Gene_3488	Gene_5624	900	True
Gene_1725	Gene_4953	785	True
Gene_5684	Gene_4953	902	True
Gene_5716	Gene_4953	902	True
Gene_623	Gene_84634	900	True
Gene_5020	Gene_84634	931	True
Gene_2798	Gene_84634	979	True
Gene_5106	Gene_2023	944	True
Gene_2597	Gene_2023	995	True
Gene_5982	Gene_10459	905	True
Gene_23411	Gene_9927	721	True
Gene_3646	Gene_60672	722	True
Gene_3485	Gene_60672	712	True
Gene_10135	Gene_84618	900	True
Gene_30009	Gene_6402	762	True
Gene_3560	Gene_6402	755	True
Gene_3002	Gene_6402	735	True
Gene_3558	Gene_6402	807	True
Gene_6404	Gene_6402	996	True
Gene_3458	Gene_6402	748	True
Gene_3565	Gene_6402	737	True
Gene_2896	Gene_1509	747	True
Gene_7414	Gene_1509	913	True
Gene_1522	Gene_1509	965	True
Gene_10562	Gene_1509	906	True
Gene_56729	Gene_1509	904	True
Gene_7392	Gene_1509	909	True
Gene_4790	Gene_1509	908	True
Gene_4057	Gene_1509	910	True
Gene_7414	Gene_4317	917	True
Gene_1522	Gene_4317	908	True
Gene_7076	Gene_4317	825	True
Gene_10562	Gene_4317	938	True
Gene_56729	Gene_4317	926	True
Gene_4790	Gene_4317	905	True
Gene_4057	Gene_4317	949	True
Gene_1509	Gene_4317	918	True
Gene_5954	Gene_335	900	True
Gene_10272	Gene_335	900	True
Gene_6694	Gene_335	918	True
Gene_350	Gene_335	981	True
Gene_3053	Gene_335	968	True
Gene_3956	Gene_335	919	True
Gene_7076	Gene_335	932	True
Gene_5444	Gene_335	956	True
Gene_3912	Gene_335	902	True
Gene_5947	Gene_335	919	True
Gene_338	Gene_335	999	True
Gene_84141	Gene_335	902	True
Gene_3488	Gene_335	909	True
Gene_5624	Gene_335	933	True
Gene_84618	Gene_471	932	True
Gene_2896	Gene_7276	922	True
Gene_5594	Gene_7276	915	True
Gene_1511	Gene_7276	915	True
Gene_5834	Gene_7276	904	True
Gene_2717	Gene_7276	924	True
Gene_56729	Gene_7276	915	True
Gene_4353	Gene_7276	921	True
Gene_5947	Gene_7276	955	True
Gene_335	Gene_7276	868	True
Gene_55290	Gene_9519	870	True
Gene_5954	Gene_6185	763	True
Gene_5684	Gene_6185	924	True
Gene_5954	Gene_8074	900	True
Gene_10272	Gene_8074	900	True
Gene_6694	Gene_8074	902	True
Gene_2249	Gene_8074	919	True
Gene_27006	Gene_8074	955	True
Gene_3053	Gene_8074	900	True
Gene_5594	Gene_8074	920	True
Gene_3956	Gene_8074	900	True
Gene_7076	Gene_8074	904	True
Gene_3912	Gene_8074	900	True
Gene_1594	Gene_8074	948	True
Gene_2251	Gene_8074	922	True
Gene_26127	Gene_8074	921	True
Gene_338	Gene_8074	910	True
Gene_84141	Gene_8074	900	True
Gene_3488	Gene_8074	900	True
Gene_5624	Gene_8074	900	True
Gene_335	Gene_8074	910	True
Gene_1634	Gene_7043	945	True
Gene_7049	Gene_7043	972	True
Gene_7076	Gene_7043	938	True
Gene_50855	Gene_7043	900	True
Gene_7040	Gene_7043	906	True
Gene_3082	Gene_7043	922	True
Gene_3696	Gene_7043	926	True
Gene_5054	Gene_7043	962	True
Gene_6198	Gene_7043	907	True
Gene_6678	Gene_7043	927	True
Gene_3273	Gene_7043	900	True
Gene_3202	Gene_3218	803	True
Gene_3203	Gene_3218	788	True
Gene_3202	Gene_3215	977	True
Gene_3203	Gene_3215	967	True
Gene_3218	Gene_3215	892	True
Gene_3202	Gene_3217	968	True
Gene_3203	Gene_3217	965	True
Gene_3215	Gene_3217	975	True
Gene_5603	Gene_1843	880	True
Gene_6300	Gene_1843	946	True
Gene_5594	Gene_1843	994	True
Gene_1432	Gene_1843	991	True
Gene_2908	Gene_1843	957	True
Gene_8456	Gene_4488	701	True
Gene_51564	Gene_1958	919	True
Gene_5594	Gene_1958	975	True
Gene_10014	Gene_1958	928	True
Gene_595	Gene_1958	715	True
Gene_1843	Gene_1958	833	True
Gene_5603	Gene_1846	720	True
Gene_6300	Gene_1846	786	True
Gene_5594	Gene_1846	986	True
Gene_1432	Gene_1846	970	True
Gene_1843	Gene_1846	902	True
Gene_9319	Gene_23397	713	True
Gene_990	Gene_23397	848	True
Gene_6790	Gene_23397	939	True
Gene_3002	Gene_22914	736	True
Gene_3558	Gene_22914	884	True
Gene_9817	Gene_847	770	True
Gene_4504	Gene_847	708	True
Gene_23411	Gene_847	793	True
Gene_5594	Gene_847	719	True
Gene_3162	Gene_847	904	True
Gene_328	Gene_847	817	True
Gene_1666	Gene_847	935	True
Gene_4353	Gene_847	862	True
Gene_2597	Gene_847	784	True
Gene_623	Gene_2693	900	True
Gene_5020	Gene_2693	928	True
Gene_2798	Gene_2693	908	True
Gene_84634	Gene_2693	911	True
Gene_5594	Gene_8743	932	True
Gene_7049	Gene_92	916	True
Gene_6300	Gene_4656	915	True
Gene_1432	Gene_4656	928	True
Gene_1594	Gene_196	790	True
Gene_3202	Gene_3204	976	True
Gene_3203	Gene_3204	978	True
Gene_3218	Gene_3204	795	True
